Entry	Entry name	Status	Protein names	Gene names	Organism	Length
Q6CAC1	Q6CAC1_YARLI	unreviewed	YALI0D04136p	YALI0_D04136g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	387
Q6CAS5	Q6CAS5_YARLI	unreviewed	YALI0D00341p	YALI0_D00341g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	149
Q6C6X7	Q6C6X7_YARLI	unreviewed	YALI0E05445p	YALI0_E05445g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	116
Q6CHY8	Q6CHY8_YARLI	unreviewed	YALI0A03399p	YALI0_A03399g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	684
Q6C405	Q6C405_YARLI	unreviewed	YALI0E30833p	YALI0_E30833g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	422
Q6CHU7	Q6CHU7_YARLI	unreviewed	YALI0A04785p	YALI0_A04785g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	310
Q6CHV7	Q6CHV7_YARLI	unreviewed	YALI0A04499p	YALI0_A04499g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	99
Q6C5L0	Q6C5L0_YARLI	unreviewed	YALI0E17149p	YALI0_E17149g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	494
Q6CDF2	Q6CDF2_YARLI	unreviewed	YALI0C01001p	YALI0_C01001g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	194
B5FVA7	B5FVA7_YARLI	unreviewed	YALI0B23111p	YALI0_B23111g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	147
Q6CB12	Q6CB12_YARLI	unreviewed	YALI0C22726p	YALI0_C22726g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	391
Q6CAM7	Q6CAM7_YARLI	unreviewed	YALI0D01419p	YALI0_D01419g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	686
Q6CDJ5	Q6CDJ5_YARLI	unreviewed	YALI0B23452p	YALI0_B23452g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	281
Q6CH80	Q6CH80_YARLI	unreviewed	YALI0A11517p	YALI0_A11517g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	332
B5RSJ5	B5RSJ5_YARLI	unreviewed	YALI0A01452p	YALI0_A01452g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	102
Q6CFV7	Q6CFV7_YARLI	unreviewed	YALI0B03300p	YALI0_B03300g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	436
Q6CHJ4	Q6CHJ4_YARLI	unreviewed	YALI0A08195p	YALI0_A08195g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	161
Q6C5C9	Q6C5C9_YARLI	unreviewed	YALI0E19140p	YALI0_E19140g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	173
Q6CCX3	Q6CCX3_YARLI	unreviewed	YALI0C05797p	YALI0_C05797g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	472
Q6C9S2	Q6C9S2_YARLI	unreviewed	YALI0D08800p	YALI0_D08800g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	354
Q6C303	Q6C303_YARLI	unreviewed	YALI0F03685p	YALI0_F03685g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	468
Q6CBG9	Q6CBG9_YARLI	unreviewed	YALI0C18975p	YALI0_C18975g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	172
Q6CH16	Q6CH16_YARLI	unreviewed	YALI0A13849p	YALI0_A13849g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	90
Q6CDF8	Q6CDF8_YARLI	unreviewed	YALI0C00869p	YALI0_C00869g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	526
Q6CB73	Q6CB73_YARLI	unreviewed	YALI0C21384p	YALI0_C21384g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	193
Q6C076	Q6C076_YARLI	unreviewed	YALI0F27203p	YALI0_F27203g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	623
Q6C3D9	Q6C3D9_YARLI	unreviewed	YALI0F00528p	YALI0_F00528g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	168
Q6C3T5	Q6C3T5_YARLI	unreviewed	YALI0E32263p	YALI0_E32263g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	168
Q6C3L5	Q6C3L5_YARLI	unreviewed	YALI0E33825p	YALI0_E33825g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	1462
Q6CD11	Q6CD11_YARLI	unreviewed	YALI0C04730p	YALI0_C04730g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	565
Q6CF70	Q6CF70_YARLI	unreviewed	YALI0B09757p	YALI0_B09757g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	156
Q6CGC9	Q6CGC9_YARLI	unreviewed	HECT-type E3 ubiquitin transferase (EC 2.3.2.26)	YALI0_A20372g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	870
Q6CGX9	Q6CGX9_YARLI	unreviewed	YALI0A15059p	YALI0_A15059g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	225
Q6CBW8	Q6CBW8_YARLI	unreviewed	Electron transfer flavoprotein-ubiquinone oxidoreductase (ETF-QO) (EC 1.5.5.1)	YALI0_C14806g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	646
Q6CCP0	Q6CCP0_YARLI	unreviewed	YALI0C07821p	YALI0_C07821g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	595
Q6C8J1	Q6C8J1_YARLI	unreviewed	YALI0D19206p	YALI0_D19206g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	470
Q6CEH0	Q6CEH0_YARLI	unreviewed	YALI0B15686p	YALI0_B15686g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	994
Q6C2I8	Q6C2I8_YARLI	unreviewed	YALI0F07557p	YALI0_F07557g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	723
Q6CIA1	Q6CIA1_YARLI	unreviewed	YALI0A00286p	YALI0_A00286g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	368
Q6C2W8	Q6C2W8_YARLI	unreviewed	YALI0F04466p	YALI0_F04466g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	231
Q6C767	Q6C767_YARLI	unreviewed	YALI0E03344p	YALI0_E03344g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	112
Q6CFL8	Q6CFL8_YARLI	unreviewed	YALI0B05786p	YALI0_B05786g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	219
Q6C5G9	Q6C5G9_YARLI	unreviewed	YALI0E18139p	YALI0_E18139g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	543
Q6CH70	Q6CH70_YARLI	unreviewed	YALI0A11803p	YALI0_A11803g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	322
Q6CA05	Q6CA05_YARLI	unreviewed	Mitochondrial import inner membrane translocase subunit	YALI0_D06908g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	81
Q6CFM5	Q6CFM5_YARLI	unreviewed	YALI0B05632p	YALI0_B05632g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	519
Q6BZS4	Q6BZS4_YARLI	unreviewed	YALI0F31273p	YALI0_F31273g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	217
Q6CAH3	Q6CAH3_YARLI	unreviewed	YALI0D02761p	YALI0_D02761g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	633
Q6C0M0	Q6C0M0_YARLI	unreviewed	YALI0F23529p	YALI0_F23529g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	213
Q6C244	Q6C244_YARLI	unreviewed	YALI0F11011p	YALI0_F11011g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	426
Q6CA65	Q6CA65_YARLI	unreviewed	YALI0D05533p	YALI0_D05533g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	377
Q6C3G6	Q6C3G6_YARLI	unreviewed	YALI0E35024p	YALI0_E35024g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	122
Q6CGP2	Q6CGP2_YARLI	unreviewed	YALI0A17578p	YALI0_A17578g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	1233
Q6C9I3	Q6C9I3_YARLI	unreviewed	YALI0D10989p	YALI0_D10989g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	1383
B5FVD6	B5FVD6_YARLI	unreviewed	YALI0C23379p	YALI0_C23379g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	690
Q6C963	Q6C963_YARLI	unreviewed	YALI0D13706p	YALI0_D13706g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	417
Q6C8W8	Q6C8W8_YARLI	unreviewed	YALI0D16291p	YALI0_D16291g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	1018
Q6C9B5	Q6C9B5_YARLI	unreviewed	YALI0D12496p	YALI0_D12496g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	445
Q6CA37	Q6CA37_YARLI	unreviewed	YALI0D06215p	YALI0_D06215g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	473
Q6BZY3	Q6BZY3_YARLI	unreviewed	YALI0F29975p	YALI0_F29975g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	254
Q6CAF1	Q6CAF1_YARLI	unreviewed	YALI0D03355p	YALI0_D03355g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	195
Q6CI34	Q6CI34_YARLI	unreviewed	YALI0A02134p	YALI0_A02134g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	1366
Q6C930	Q6C930_YARLI	unreviewed	YALI0D14674p	YALI0_D14674g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	317
Q6C867	Q6C867_YARLI	unreviewed	YALI0D22286p	YALI0_D22286g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	1189
Q6C4K9	Q6C4K9_YARLI	unreviewed	YALI0E25894p	YALI0_E25894g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	348
Q6C1F0	Q6C1F0_YARLI	unreviewed	Ammonium transporter	YALI0_F16896g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	498
F2Z6H3	F2Z6H3_YARLI	unreviewed	YALI0B13816p	YALI0_B13816g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	519
Q6C7E6	Q6C7E6_YARLI	unreviewed	Ribosomal protein L37	YALI0_E01452g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	84
Q6C1A7	Q6C1A7_YARLI	unreviewed	YALI0F17864p	YALI0_F17864g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	235
Q6C3L3	Q6C3L3_YARLI	unreviewed	YALI0E33869p	YALI0_E33869g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	188
Q6C661	Q6C661_YARLI	unreviewed	YALI0E12155p	YALI0_E12155g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	1417
Q6C0Y4	Q6C0Y4_YARLI	unreviewed	Ribonucloprotein	YALI0_F20768g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	155
Q6CAB1	Q6CAB1_YARLI	unreviewed	YALI0D04356p	YALI0_D04356g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	414
Q6CF52	Q6CF52_YARLI	unreviewed	H/ACA ribonucleoprotein complex non-core subunit NAF1	YALI0_B10219g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	723
Q6CDL3	Q6CDL3_YARLI	unreviewed	YALI0B23056p	YALI0_B23056g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	227
Q6C2X2	Q6C2X2_YARLI	unreviewed	Terpene cyclase/mutase family member (EC 5.4.99.-)	YALI0_F04378g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	742
Q6C9W8	Q6C9W8_YARLI	unreviewed	Kinesin-like protein	YALI0_D07722g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	563
Q6C4P9	Q6C4P9_YARLI	unreviewed	Glycosidase (EC 3.2.-.-)	YALI0_E24673g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	584
Q6CCJ4	Q6CCJ4_YARLI	unreviewed	Eukaryotic translation initiation factor 2A (eIF-2A)	YALI0_C08877g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	561
Q6CDG7	Q6CDG7_YARLI	unreviewed	YALI0C00671p	YALI0_C00671g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	604
Q6CCA7	Q6CCA7_YARLI	unreviewed	YALI0C11033p	YALI0_C11033g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	480
Q6CBT9	Q6CBT9_YARLI	unreviewed	YALI0C15554p	YALI0_C15554g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	511
Q6C1K6	Q6C1K6_YARLI	unreviewed	YALI0F15411p	YALI0_F15411g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	423
Q6C6H9	Q6C6H9_YARLI	unreviewed	Peroxisomal membrane protein PEX14 (Peroxin-14)	YALI0_E09405g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	380
Q6C4J4	Q6C4J4_YARLI	unreviewed	YALI0E26279p	YALI0_E26279g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	425
Q6CDL1	Q6CDL1_YARLI	unreviewed	YALI0B23100p	YALI0_B23100g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	318
Q6C171	Q6C171_YARLI	unreviewed	Mannan endo-1,6-alpha-mannosidase (EC 3.2.1.101)	YALI0_F18722g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	467
Q6C5E1	Q6C5E1_YARLI	unreviewed	DNA polymerase alpha subunit B	YALI0_E18832g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	608
Q6CCV7	Q6CCV7_YARLI	unreviewed	YALI0C06149p	YALI0_C06149g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	234
Q6CDB1	Q6CDB1_YARLI	unreviewed	YALI0C02211p	YALI0_C02211g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	544
Q6CAU1	Q6CAU1_YARLI	unreviewed	YALI0C24332p	YALI0_C24332g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	457
Q6C9H8	Q6C9H8_YARLI	unreviewed	YALI0D11088p	YALI0_D11088g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	1039
Q6C042	Q6C042_YARLI	unreviewed	YALI0F27951p	YALI0_F27951g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	140
Q6CCE5	Q6CCE5_YARLI	unreviewed	YALI0C10054p	YALI0_C10054g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	521
Q6C548	Q6C548_YARLI	unreviewed	YALI0E21043p	YALI0_E21043g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	767
Q6C090	Q6C090_YARLI	unreviewed	YALI0F26785p	YALI0_F26785g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	283
Q6CB42	Q6CB42_YARLI	unreviewed	YALI0C22088p	YALI0_C22088g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	380
Q6C9D6	Q6C9D6_YARLI	unreviewed	YALI0D12056p	YALI0_D12056g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	197
Q6C035	Q6C035_YARLI	unreviewed	YALI0F28105p	YALI0_F28105g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	253
Q6CBH8	Q6CBH8_YARLI	unreviewed	YALI0C18645p	YALI0_C18645g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	974
Q6CCE6	Q6CCE6_YARLI	unreviewed	YALI0C10032p	YALI0_C10032g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	656
Q6C7F4	Q6C7F4_YARLI	unreviewed	Imidazole acetol-phosphate transaminase	YALI0_E01254g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	387
Q6CGJ1	Q6CGJ1_YARLI	unreviewed	YALI0A18898p	YALI0_A18898g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	468
Q6C8M5	Q6C8M5_YARLI	unreviewed	YALI0D18458p	YALI0_D18458g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	454
Q6C581	Q6C581_YARLI	unreviewed	YALI0E20273p	YALI0_E20273g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	516
Q6CD46	Q6CD46_YARLI	unreviewed	YALI0C03850p	YALI0_C03850g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	640
Q6CBA0	Q6CBA0_YARLI	unreviewed	YALI0C20779p	YALI0_C20779g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	1287
Q6CDF7	Q6CDF7_YARLI	unreviewed	YALI0C00891p	YALI0_C00891g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	662
Q6C5C2	Q6C5C2_YARLI	unreviewed	YALI0E19294p	YALI0_E19294g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	876
Q6CBD5	Q6CBD5_YARLI	unreviewed	YALI0C19800p	YALI0_C19800g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	1002
Q6C139	Q6C139_YARLI	unreviewed	YALI0F19492p	YALI0_F19492g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	169
Q6C1Q6	Q6C1Q6_YARLI	unreviewed	YALI0F14289p	YALI0_F14289g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	192
Q6C5L2	Q6C5L2_YARLI	unreviewed	Phospholipid-transporting ATPase (EC 7.6.2.1)	YALI0_E17105g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	1487
Q6CEL5	Q6CEL5_YARLI	unreviewed	YALI0B14729p	YALI0_B14729g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	254
Q6CHW1	Q6CHW1_YARLI	unreviewed	YALI0A04323p	YALI0_A04323g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	282
Q6C396	Q6C396_YARLI	unreviewed	YALI0F01562p	YALI0_F01562g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	977
Q6CGI9	Q6CGI9_YARLI	unreviewed	YALI0A18942p	YALI0_A18942g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	186
Q6C7P7	Q6C7P7_YARLI	unreviewed	YALI0D26411p	YALI0_D26411g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	215
Q6C2I9	Q6C2I9_YARLI	unreviewed	YALI0F07535p	YALI0_F07535g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	298
Q6C032	Q6C032_YARLI	unreviewed	YALI0F28171p	YALI0_F28171g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	387
Q6CH52	Q6CH52_YARLI	unreviewed	YALI0A12265p	YALI0_A12265g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	139
Q6CAR8	Q6CAR8_YARLI	unreviewed	YALI0D00495p	YALI0_D00495g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	543
Q6C530	Q6C530_YARLI	unreviewed	YALI0E21527p	YALI0_E21527g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	299
Q6CF82	Q6CF82_YARLI	unreviewed	YALI0B09449p	YALI0_B09449g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	702
Q6CFI6	Q6CFI6_YARLI	unreviewed	YALI0B06688p	YALI0_B06688g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	259
Q6CCX0	Q6CCX0_YARLI	unreviewed	YALI0C05863p	YALI0_C05863g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	113
Q6CC46	Q6CC46_YARLI	unreviewed	YALI0C12551p	YALI0_C12551g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	183
Q6CFG2	Q6CFG2_YARLI	unreviewed	YALI0B07271p	YALI0_B07271g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	78
Q6C6L4	Q6C6L4_YARLI	unreviewed	YALI0E08514p	YALI0_E08514g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	466
Q6CAV5	Q6CAV5_YARLI	unreviewed	YALI0C24035p	YALI0_C24035g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	103
Q6C013	Q6C013_YARLI	unreviewed	YALI0F28633p	YALI0_F28633g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	712
Q6CEL1	Q6CEL1_YARLI	unreviewed	YALI0B14817p	YALI0_B14817g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	914
Q6C5I0	Q6C5I0_YARLI	unreviewed	YALI0E17897p	YALI0_E17897g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	186
Q6C488	Q6C488_YARLI	unreviewed	YALI0E28831p	YALI0_E28831g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	539
Q6CG36	Q6CG36_YARLI	unreviewed	YALI0B01188p	YALI0_B01188g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	277
Q6CA80	Q6CA80_YARLI	unreviewed	YALI0D05137p	YALI0_D05137g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	125
Q6C9I5	Q6C9I5_YARLI	unreviewed	YALI0D10945p	YALI0_D10945g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	260
Q6C8D0	Q6C8D0_YARLI	unreviewed	YALI0D20658p	YALI0_D20658g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	694
Q6CBW3	Q6CBW3_YARLI	unreviewed	YALI0C15004p	YALI0_C15004g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	181
Q6CE70	Q6CE70_YARLI	unreviewed	YALI0B18084p	YALI0_B18084g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	238
Q6C4W8	Q6C4W8_YARLI	unreviewed	YALI0E23111p	YALI0_E23111g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	104
Q6C6L2	Q6C6L2_YARLI	unreviewed	YALI0E08558p	YALI0_E08558g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	308
Q6CHL5	Q6CHL5_YARLI	unreviewed	YALI0A07645p	YALI0_A07645g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	43
Q6C6E5	Q6C6E5_YARLI	unreviewed	YALI0E10153p	YALI0_E10153g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	795
Q6CFM8	Q6CFM8_YARLI	unreviewed	YALI0B05544p	YALI0_B05544g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	401
Q6CHI7	Q6CHI7_YARLI	unreviewed	YALI0A08404p	YALI0_A08404g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	563
Q6C5K9	Q6C5K9_YARLI	unreviewed	YALI0E17171p	YALI0_E17171g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	149
Q6BZS0	Q6BZS0_YARLI	unreviewed	YALI0F31361p	YALI0_F31361g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	127
Q6C8M4	Q6C8M4_YARLI	unreviewed	Triacylglycerol lipase (EC 3.1.1.3)	YALI0_D18480g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	365
Q6C4V8	Q6C4V8_YARLI	unreviewed	YALI0E23320p	YALI0_E23320g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	144
Q6C832	Q6C832_YARLI	unreviewed	YALI0D23199p	YALI0_D23199g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	196
Q6CCW5	Q6CCW5_YARLI	unreviewed	YALI0C05973p	YALI0_C05973g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	328
